year,Value
1975,9400000
1970,8875000
1950,5900000
1925,4800000
1914,4000000
1900,3330000
1875,2250000
1851,1325000
1850,1314000
1846,1270000
1825,855000
1775,600600
1756,576630
1683,559000
1750,556000
1748,553000
1801,547756
1800,547000
1675,540000
1700,530000
1714,509640
1650,455000
1637,412000
1382,300000
1400,280000
1418,280000
1328,274000
1600,245000
1596,230000
1300,228000
1575,220000
1590,220000
1292,216000
1350,215000
1550,210000
1500,185000
1467,174000
1250,160000
1450,150000
1200,110000
1150,50000
800,25000
1000,20000
1980,8669000
2015,10843000
