,year,Value
41,800,25000
42,1000,20000
40,1150,50000
39,1200,110000
37,1250,160000
32,1292,216000
29,1300,228000
26,1328,274000
33,1350,215000
23,1382,300000
24,1400,280000
25,1418,280000
38,1450,150000
36,1467,174000
35,1500,185000
34,1550,210000
30,1575,220000
31,1590,220000
28,1596,230000
27,1600,245000
22,1637,412000
21,1650,455000
18,1675,540000
13,1683,559000
19,1700,530000
20,1714,509640
15,1748,553000
14,1750,556000
12,1756,576630
11,1775,600600
17,1800,547000
16,1801,547756
10,1825,855000
9,1846,1270000
8,1850,1314000
7,1851,1325000
6,1875,2250000
5,1900,3330000
4,1914,4000000
3,1925,4800000
2,1950,5900000
1,1970,8875000
0,1975,9400000
43,1980,8669000
44,2015,10843000
